Month,Year,GP_Index_No,pluno,Item_Name,Net_Qty,O_B,Closing_Stock
April,2022,I/001001L,1001,LASER ULTRA S/S BLADE (10 BLADES),55,376,321
April,2022,I/001006P,1006,R/SET GELLETE SHAVER 5 S PACK,61,62,17
April,2022,I/001015G,1015,GILLETTE VENUS + 1 CARTRIDGE PACK,4,0,1
April,2022,I/001017B,1017,MACH3 CART8'S PACK,7,38,31
April,2022,I/001020S,1020,R/SET GILLETTE VICTOR+ CART.,2,82,80
April,2022,I/001021T,1021,"R/BLADE MACH 3, 4 S PACK",18,37,19
April,2022,I/001022K,1022,R/BLADE 7 O CLOCK P-II TWIN,5,0,15
April,2022,I/001026E,1026,R/BLADE WILMAN II PREMIUM TWIN,17,130,163
April,2022,I/001027L,1027,R/SET GILLETTE PRESTO READY SHAVER,10,373,363
April,2022,I/001029F,1029,GILLET FUSION CARTRIGE 4 PACK,5,0,19
April,2022,I/001031F,1031,GILLET FUSION RAZOR,5,32,37
April,2022,I/001033K,1033,BLD SUPER MAX 5S PKT,52,530,478
April,2022,I/001063Y,1063,R/SET GILLETTE MACH 3+,13,31,30
April,2022,I/001064S,1064,R/BLADE GILLETTE MACH 3,16,126,110
April,2022,I/001069M,1069,MACH 3 4 CART'S,5,0,45
April,2022,I/001070M,1070,MACH 3 8 CART'S,9,36,27
April,2022,I/001108P,1108,S/C PARK AVENUE COOL BLUE 84GM,34,81,47
April,2022,I/001112A,1112,S/CREAM PARK AVENUE 70GM,12,288,276
April,2022,I/001113K,1113,GILLET SHAVINGE CREAM REGULAR 70GM,28,42,14
April,2022,I/001114S,1114,GILLETT SHAVING CREAM LIME 30 GMS,13,18,5
April,2022,I/001116P,1116,S/CREAM AXE DENIM 60GM,13,0,23
April,2022,I/001141S,1141,S/CREAM DETTOL 70 GMS,97,341,244
April,2022,I/001170L,1170,GILLETTE FOAM SHAVING 196GM,24,0,0
April,2022,I/001172H,1172,GILLETE GEL 60 ML,36,239,203
April,2022,I/001195V,1195,VIJOHN REGULAR SHAVE FOAM G,1,1,0
April,2022,I/001202N,1202,A/SHAVE LOTION FA 100ML,5,25,20
April,2022,I/001204W,1204,WILD AFTER SHAVE 100ML,7,31,24
April,2022,I/001205U,1205,A/SHAVE WILD STONE 50ML,7,11,4
April,2022,I/001207S,1207,PARK AVENUE GOOD MORNNIG A/S,20,26,6
April,2022,I/001208T,1208,AFTER SHAVE PARK AVENUE 100 ML,3,4,1
April,2022,I/001251S,1251,LOTION BABY JOHNSON 200 ml,18,36,18
